nohup: 忽略输入
152974 356940
train num_classes 625
test num_classes 625

Epoch : 1
[progress:2.9%]time:17.72s Loss:6.27565 Correct:457/10240 Acc:4.463%
[progress:5.7%]time:7.59s Loss:5.93663 Correct:1123/20480 Acc:5.483%
[progress:8.6%]time:7.66s Loss:5.72173 Correct:1848/30720 Acc:6.016%
[progress:11.5%]time:7.85s Loss:5.48453 Correct:2693/40960 Acc:6.575%
[progress:14.3%]time:8.02s Loss:5.31004 Correct:3610/51200 Acc:7.051%
[progress:17.2%]time:8.23s Loss:5.09653 Correct:4688/61440 Acc:7.630%
[progress:20.1%]time:8.23s Loss:4.97369 Correct:5838/71680 Acc:8.145%
[progress:22.9%]time:8.19s Loss:4.76630 Correct:7193/81920 Acc:8.781%
[progress:25.8%]time:8.25s Loss:4.55476 Correct:8769/92160 Acc:9.515%
[progress:28.7%]time:8.29s Loss:4.44414 Correct:10404/102400 Acc:10.160%
[progress:31.5%]time:8.24s Loss:4.24028 Correct:12267/112640 Acc:10.890%
[progress:34.4%]time:8.30s Loss:4.04814 Correct:14412/122880 Acc:11.729%
[progress:37.2%]time:8.28s Loss:3.90494 Correct:16655/133120 Acc:12.511%
[progress:40.1%]time:8.25s Loss:3.77492 Correct:19089/143360 Acc:13.315%
[progress:43.0%]time:8.29s Loss:3.58546 Correct:21848/153600 Acc:14.224%
[progress:45.8%]time:8.25s Loss:3.47683 Correct:24689/163840 Acc:15.069%
[progress:48.7%]time:8.24s Loss:3.35375 Correct:27708/174080 Acc:15.917%
[progress:51.6%]time:8.36s Loss:3.26840 Correct:30875/184320 Acc:16.751%
[progress:54.4%]time:8.23s Loss:3.11430 Correct:34287/194560 Acc:17.623%
[progress:57.3%]time:8.29s Loss:3.04433 Correct:37793/204800 Acc:18.454%
[progress:60.2%]time:8.29s Loss:2.89774 Correct:41582/215040 Acc:19.337%
[progress:63.0%]time:8.27s Loss:2.82663 Correct:45466/225280 Acc:20.182%
[progress:65.9%]time:8.32s Loss:2.77649 Correct:49431/235520 Acc:20.988%
[progress:68.8%]time:8.24s Loss:2.72263 Correct:53546/245760 Acc:21.788%
[progress:71.6%]time:8.30s Loss:2.67066 Correct:57735/256000 Acc:22.553%
[progress:74.5%]time:8.25s Loss:2.53809 Correct:62153/266240 Acc:23.345%
[progress:77.4%]time:8.27s Loss:2.47981 Correct:66699/276480 Acc:24.124%
[progress:80.2%]time:8.29s Loss:2.42922 Correct:71329/286720 Acc:24.878%
[progress:83.1%]time:8.28s Loss:2.40013 Correct:75981/296960 Acc:25.586%
[progress:86.0%]time:8.28s Loss:2.34087 Correct:80699/307200 Acc:26.269%
[progress:88.8%]time:8.27s Loss:2.28884 Correct:85638/317440 Acc:26.978%
[progress:91.7%]time:8.30s Loss:2.20178 Correct:90647/327680 Acc:27.663%
[progress:94.6%]time:8.22s Loss:2.22315 Correct:95675/337920 Acc:28.313%
[progress:97.4%]time:8.25s Loss:2.18010 Correct:100799/348160 Acc:28.952%
Testing ...
[progress:100.0%]time:46.56s Loss:2.83850 Correct:62102/152974 Acc:40.596%
Saving parameters to checkpoint/ckpt.t7
end

Epoch : 2
[progress:2.9%]time:9.37s Loss:2.17357 Correct:5121/10240 Acc:50.010%
[progress:5.7%]time:8.12s Loss:2.05189 Correct:10479/20480 Acc:51.167%
[progress:8.6%]time:8.25s Loss:1.99201 Correct:15947/30720 Acc:51.911%
[progress:11.5%]time:8.27s Loss:1.98714 Correct:21382/40960 Acc:52.202%
[progress:14.3%]time:8.27s Loss:1.92909 Correct:27036/51200 Acc:52.805%
[progress:17.2%]time:8.25s Loss:1.86320 Correct:32825/61440 Acc:53.426%
[progress:20.1%]time:8.39s Loss:1.90378 Correct:38471/71680 Acc:53.670%
[progress:22.9%]time:8.27s Loss:1.88189 Correct:44205/81920 Acc:53.961%
[progress:25.8%]time:8.28s Loss:1.85573 Correct:50092/92160 Acc:54.353%
[progress:28.7%]time:8.24s Loss:1.81592 Correct:55996/102400 Acc:54.684%
[progress:31.5%]time:8.33s Loss:1.77292 Correct:61973/112640 Acc:55.019%
[progress:34.4%]time:8.26s Loss:1.73166 Correct:68086/122880 Acc:55.409%
[progress:37.2%]time:8.40s Loss:1.67945 Correct:74341/133120 Acc:55.845%
[progress:40.1%]time:8.28s Loss:1.69436 Correct:80489/143360 Acc:56.145%
[progress:43.0%]time:8.25s Loss:1.64431 Correct:86784/153600 Acc:56.500%
[progress:45.8%]time:8.25s Loss:1.67090 Correct:93007/163840 Acc:56.767%
[progress:48.7%]time:8.33s Loss:1.65782 Correct:99299/174080 Acc:57.042%
[progress:51.6%]time:8.26s Loss:1.59711 Correct:105664/184320 Acc:57.326%
[progress:54.4%]time:8.26s Loss:1.61358 Correct:112016/194560 Acc:57.574%
[progress:57.3%]time:8.32s Loss:1.57566 Correct:118448/204800 Acc:57.836%
[progress:60.2%]time:8.31s Loss:1.57312 Correct:124897/215040 Acc:58.081%
[progress:63.0%]time:8.22s Loss:1.53508 Correct:131336/225280 Acc:58.299%
[progress:65.9%]time:8.26s Loss:1.51901 Correct:137953/235520 Acc:58.574%
[progress:68.8%]time:8.39s Loss:1.53444 Correct:144502/245760 Acc:58.798%
[progress:71.6%]time:8.28s Loss:1.48015 Correct:151113/256000 Acc:59.029%
[progress:74.5%]time:8.31s Loss:1.44175 Correct:157876/266240 Acc:59.298%
[progress:77.4%]time:8.29s Loss:1.42203 Correct:164629/276480 Acc:59.545%
[progress:80.2%]time:8.24s Loss:1.44204 Correct:171357/286720 Acc:59.765%
[progress:83.1%]time:8.25s Loss:1.44985 Correct:178130/296960 Acc:59.985%
[progress:86.0%]time:8.39s Loss:1.40489 Correct:184994/307200 Acc:60.219%
[progress:88.8%]time:8.28s Loss:1.45990 Correct:191778/317440 Acc:60.414%
[progress:91.7%]time:8.30s Loss:1.39444 Correct:198619/327680 Acc:60.614%
[progress:94.6%]time:8.30s Loss:1.33450 Correct:205654/337920 Acc:60.859%
[progress:97.4%]time:8.24s Loss:1.32982 Correct:212670/348160 Acc:61.084%
Testing ...
[progress:100.0%]time:45.71s Loss:2.08923 Correct:82260/152974 Acc:53.774%
Saving parameters to checkpoint/ckpt.t7
end

Epoch : 3
[progress:2.9%]time:9.03s Loss:1.43749 Correct:6695/10240 Acc:65.381%
[progress:5.7%]time:8.25s Loss:1.39185 Correct:13553/20480 Acc:66.177%
[progress:8.6%]time:8.18s Loss:1.33213 Correct:20523/30720 Acc:66.807%
[progress:11.5%]time:8.19s Loss:1.31725 Correct:27480/40960 Acc:67.090%
[progress:14.3%]time:8.24s Loss:1.28504 Correct:34599/51200 Acc:67.576%
[progress:17.2%]time:8.33s Loss:1.23728 Correct:41819/61440 Acc:68.065%
[progress:20.1%]time:8.25s Loss:1.26906 Correct:48964/71680 Acc:68.309%
[progress:22.9%]time:8.29s Loss:1.26479 Correct:56117/81920 Acc:68.502%
[progress:25.8%]time:8.29s Loss:1.24330 Correct:63346/92160 Acc:68.735%
[progress:28.7%]time:8.29s Loss:1.25934 Correct:70542/102400 Acc:68.889%
[progress:31.5%]time:8.24s Loss:1.25185 Correct:77729/112640 Acc:69.007%
[progress:34.4%]time:8.26s Loss:1.26785 Correct:84918/122880 Acc:69.106%
[progress:37.2%]time:8.36s Loss:1.26197 Correct:92055/133120 Acc:69.152%
[progress:40.1%]time:8.17s Loss:1.21605 Correct:99369/143360 Acc:69.314%
[progress:43.0%]time:8.29s Loss:1.24187 Correct:106610/153600 Acc:69.408%
[progress:45.8%]time:8.29s Loss:1.19784 Correct:113961/163840 Acc:69.556%
[progress:48.7%]time:8.25s Loss:1.15375 Correct:121412/174080 Acc:69.745%
[progress:51.6%]time:8.19s Loss:1.19278 Correct:128771/184320 Acc:69.863%
[progress:54.4%]time:8.40s Loss:1.21542 Correct:136060/194560 Acc:69.932%
[progress:57.3%]time:8.24s Loss:1.13161 Correct:143533/204800 Acc:70.084%
[progress:60.2%]time:8.30s Loss:1.12271 Correct:151058/215040 Acc:70.246%
[progress:63.0%]time:8.24s Loss:1.11338 Correct:158574/225280 Acc:70.390%
[progress:65.9%]time:8.33s Loss:1.16487 Correct:166026/235520 Acc:70.493%
[progress:68.8%]time:8.25s Loss:1.14711 Correct:173530/245760 Acc:70.610%
[progress:71.6%]time:8.25s Loss:1.12265 Correct:181043/256000 Acc:70.720%
[progress:74.5%]time:8.29s Loss:1.10547 Correct:188595/266240 Acc:70.836%
[progress:77.4%]time:8.25s Loss:1.08383 Correct:196203/276480 Acc:70.965%
[progress:80.2%]time:8.29s Loss:1.09257 Correct:203805/286720 Acc:71.082%
[progress:83.1%]time:8.24s Loss:1.13326 Correct:211310/296960 Acc:71.158%
[progress:86.0%]time:8.31s Loss:1.05703 Correct:218964/307200 Acc:71.277%
[progress:88.8%]time:8.28s Loss:1.06029 Correct:226634/317440 Acc:71.394%
[progress:91.7%]time:8.25s Loss:1.08508 Correct:234236/327680 Acc:71.483%
[progress:94.6%]time:8.27s Loss:1.05038 Correct:241914/337920 Acc:71.589%
[progress:97.4%]time:8.31s Loss:1.05576 Correct:249609/348160 Acc:71.694%
Testing ...
[progress:100.0%]time:45.71s Loss:1.05223 Correct:115872/152974 Acc:75.746%
Saving parameters to checkpoint/ckpt.t7
end

Epoch : 4
[progress:2.9%]time:9.06s Loss:1.14358 Correct:7467/10240 Acc:72.920%
[progress:5.7%]time:8.24s Loss:1.11178 Correct:15009/20480 Acc:73.286%
[progress:8.6%]time:8.20s Loss:1.09865 Correct:22583/30720 Acc:73.512%
[progress:11.5%]time:8.26s Loss:1.02504 Correct:30365/40960 Acc:74.133%
[progress:14.3%]time:8.28s Loss:0.99001 Correct:38191/51200 Acc:74.592%
[progress:17.2%]time:8.25s Loss:0.99066 Correct:46047/61440 Acc:74.946%
[progress:20.1%]time:8.19s Loss:1.03884 Correct:53787/71680 Acc:75.038%
[progress:22.9%]time:8.39s Loss:1.01843 Correct:61598/81920 Acc:75.193%
[progress:25.8%]time:8.29s Loss:0.98812 Correct:69430/92160 Acc:75.336%
[progress:28.7%]time:8.24s Loss:0.98327 Correct:77315/102400 Acc:75.503%
[progress:31.5%]time:8.25s Loss:0.96428 Correct:85223/112640 Acc:75.660%
[progress:34.4%]time:8.34s Loss:0.98653 Correct:93051/122880 Acc:75.725%
