nohup: 忽略输入
152974 356940
train num_classes 625
test num_classes 625
Loading from checkpoint/ckpt.t7

Epoch : 16
[progress:1.4%]time:100.36s Loss:0.68653 Correct:4309/5120 Acc:84.160%
[progress:2.9%]time:88.00s Loss:1.10685 Correct:8104/10240 Acc:79.141%
[progress:4.3%]time:85.70s Loss:1.29823 Correct:11678/15360 Acc:76.029%
[progress:5.7%]time:85.74s Loss:1.33937 Correct:15143/20480 Acc:73.940%
[progress:7.2%]time:84.40s Loss:1.39967 Correct:18571/25600 Acc:72.543%
[progress:8.6%]time:84.00s Loss:1.30011 Correct:22095/30720 Acc:71.924%
[progress:10.0%]time:83.73s Loss:1.23808 Correct:25722/35840 Acc:71.769%
[progress:11.5%]time:81.12s Loss:1.22453 Correct:29363/40960 Acc:71.687%
[progress:12.9%]time:78.34s Loss:1.19800 Correct:33019/46080 Acc:71.656%
[progress:14.3%]time:75.78s Loss:1.17110 Correct:36713/51200 Acc:71.705%
[progress:15.8%]time:75.59s Loss:1.08837 Correct:40480/56320 Acc:71.875%
[progress:17.2%]time:74.83s Loss:1.07095 Correct:44309/61440 Acc:72.118%
[progress:18.6%]time:75.49s Loss:1.01795 Correct:48154/66560 Acc:72.347%
[progress:20.1%]time:76.18s Loss:1.03972 Correct:51997/71680 Acc:72.540%
[progress:21.5%]time:72.09s Loss:1.04135 Correct:55863/76800 Acc:72.738%
[progress:22.9%]time:73.01s Loss:1.07057 Correct:59663/81920 Acc:72.831%
[progress:24.4%]time:70.70s Loss:1.06078 Correct:63488/87040 Acc:72.941%
[progress:25.8%]time:70.41s Loss:0.96031 Correct:67451/92160 Acc:73.189%
[progress:27.2%]time:69.54s Loss:1.01903 Correct:71336/97280 Acc:73.331%
[progress:28.7%]time:70.86s Loss:0.99664 Correct:75261/102400 Acc:73.497%
[progress:30.1%]time:69.17s Loss:1.03504 Correct:79129/107520 Acc:73.595%
[progress:31.5%]time:71.12s Loss:0.96164 Correct:83094/112640 Acc:73.770%
[progress:33.0%]time:67.29s Loss:0.97065 Correct:87086/117760 Acc:73.952%
[progress:34.4%]time:70.42s Loss:0.97838 Correct:91014/122880 Acc:74.067%
[progress:35.8%]time:69.56s Loss:0.99529 Correct:94946/128000 Acc:74.177%
[progress:37.3%]time:71.87s Loss:0.93906 Correct:98919/133120 Acc:74.308%
[progress:38.7%]time:68.27s Loss:0.97254 Correct:102864/138240 Acc:74.410%
[progress:40.1%]time:69.14s Loss:0.92368 Correct:106837/143360 Acc:74.524%
[progress:41.6%]time:66.24s Loss:0.97038 Correct:110771/148480 Acc:74.603%
[progress:43.0%]time:65.89s Loss:0.92821 Correct:114761/153600 Acc:74.714%
[progress:44.4%]time:67.99s Loss:0.92705 Correct:118759/158720 Acc:74.823%
[progress:45.9%]time:66.30s Loss:0.89938 Correct:122801/163840 Acc:74.952%
[progress:47.3%]time:68.09s Loss:0.88045 Correct:126874/168960 Acc:75.091%
[progress:48.7%]time:65.27s Loss:0.95108 Correct:130846/174080 Acc:75.164%
[progress:50.2%]time:63.89s Loss:0.92231 Correct:134861/179200 Acc:75.257%
[progress:51.6%]time:64.08s Loss:0.93213 Correct:138864/184320 Acc:75.339%
[progress:53.0%]time:63.26s Loss:0.88120 Correct:142922/189440 Acc:75.444%
[progress:54.5%]time:64.40s Loss:0.88931 Correct:146984/194560 Acc:75.547%
[progress:55.9%]time:65.72s Loss:0.88744 Correct:151028/199680 Acc:75.635%
[progress:57.3%]time:65.72s Loss:0.93553 Correct:155045/204800 Acc:75.706%
[progress:58.8%]time:64.40s Loss:0.92285 Correct:159075/209920 Acc:75.779%
[progress:60.2%]time:63.64s Loss:0.85154 Correct:163137/215040 Acc:75.864%
[progress:61.6%]time:65.06s Loss:0.87205 Correct:167198/220160 Acc:75.944%
[progress:63.1%]time:63.62s Loss:0.89303 Correct:171239/225280 Acc:76.012%
[progress:64.5%]time:62.70s Loss:0.86393 Correct:175305/230400 Acc:76.087%
[progress:65.9%]time:60.71s Loss:0.87281 Correct:179365/235520 Acc:76.157%
[progress:67.4%]time:60.48s Loss:0.84066 Correct:183484/240640 Acc:76.248%
[progress:68.8%]time:60.53s Loss:0.87520 Correct:187589/245760 Acc:76.330%
[progress:70.3%]time:59.88s Loss:0.87675 Correct:191667/250880 Acc:76.398%
[progress:71.7%]time:59.59s Loss:0.93544 Correct:195666/256000 Acc:76.432%
[progress:73.1%]time:60.83s Loss:0.88283 Correct:199742/261120 Acc:76.494%
[progress:74.6%]time:60.81s Loss:0.84616 Correct:203845/266240 Acc:76.564%
[progress:76.0%]time:60.94s Loss:0.85018 Correct:207924/271360 Acc:76.623%
[progress:77.4%]time:61.33s Loss:0.90962 Correct:211962/276480 Acc:76.664%
[progress:78.9%]time:61.50s Loss:0.87129 Correct:216026/281600 Acc:76.714%
[progress:80.3%]time:59.78s Loss:0.86339 Correct:220093/286720 Acc:76.762%
[progress:81.7%]time:59.32s Loss:0.87681 Correct:224138/291840 Acc:76.802%
[progress:83.2%]time:57.99s Loss:0.84895 Correct:228277/296960 Acc:76.871%
[progress:84.6%]time:56.65s Loss:0.90475 Correct:232357/302080 Acc:76.919%
[progress:86.0%]time:55.57s Loss:0.91332 Correct:236380/307200 Acc:76.947%
[progress:87.5%]time:54.09s Loss:0.90027 Correct:240399/312320 Acc:76.972%
[progress:88.9%]time:53.77s Loss:0.85744 Correct:244511/317440 Acc:77.026%
[progress:90.3%]time:53.76s Loss:0.81535 Correct:248639/322560 Acc:77.083%
[progress:91.8%]time:53.09s Loss:0.82345 Correct:252767/327680 Acc:77.138%
[progress:93.2%]time:52.55s Loss:0.83782 Correct:256876/332800 Acc:77.186%
[progress:94.6%]time:50.84s Loss:0.83458 Correct:260986/337920 Acc:77.233%
[progress:96.1%]time:51.28s Loss:0.89170 Correct:265016/343040 Acc:77.255%
[progress:97.5%]time:50.89s Loss:0.84679 Correct:269124/348160 Acc:77.299%
[progress:98.9%]time:51.53s Loss:0.89159 Correct:273171/353280 Acc:77.324%
Testing ...
[progress:100.0%]time:1208.22s Loss:0.95107 Correct:118222/152974 Acc:77.282%
Saving parameters to checkpoint/ckpt.t7
end

Epoch : 17
[progress:1.4%]time:10.73s Loss:0.92016 Correct:4006/5120 Acc:78.242%
[progress:2.9%]time:9.90s Loss:0.87347 Correct:8080/10240 Acc:78.906%
[progress:4.3%]time:9.97s Loss:0.87752 Correct:12106/15360 Acc:78.815%
[progress:5.7%]time:10.02s Loss:0.86361 Correct:16198/20480 Acc:79.092%
[progress:7.2%]time:9.88s Loss:0.89713 Correct:20235/25600 Acc:79.043%
[progress:8.6%]time:10.13s Loss:0.85108 Correct:24346/30720 Acc:79.251%
[progress:10.0%]time:10.17s Loss:0.88678 Correct:28434/35840 Acc:79.336%
[progress:11.5%]time:9.94s Loss:0.83423 Correct:32545/40960 Acc:79.456%
[progress:12.9%]time:10.03s Loss:0.86037 Correct:36624/46080 Acc:79.479%
[progress:14.3%]time:10.23s Loss:0.86847 Correct:40680/51200 Acc:79.453%
[progress:15.8%]time:10.77s Loss:0.89241 Correct:44715/56320 Acc:79.395%
[progress:17.2%]time:10.05s Loss:0.83473 Correct:48829/61440 Acc:79.474%
[progress:18.6%]time:9.44s Loss:0.78190 Correct:53017/66560 Acc:79.653%
[progress:20.1%]time:9.50s Loss:0.79047 Correct:57197/71680 Acc:79.795%
[progress:21.5%]time:9.89s Loss:0.78570 Correct:61375/76800 Acc:79.915%
[progress:22.9%]time:9.91s Loss:0.88001 Correct:65430/81920 Acc:79.871%
[progress:24.4%]time:10.23s Loss:0.84410 Correct:69531/87040 Acc:79.884%
[progress:25.8%]time:10.25s Loss:0.89610 Correct:73584/92160 Acc:79.844%
[progress:27.2%]time:9.79s Loss:0.89403 Correct:77637/97280 Acc:79.808%
[progress:28.7%]time:10.02s Loss:0.84080 Correct:81763/102400 Acc:79.847%
[progress:30.1%]time:9.85s Loss:0.88192 Correct:85819/107520 Acc:79.817%
[progress:31.5%]time:10.21s Loss:0.87616 Correct:89869/112640 Acc:79.784%
[progress:33.0%]time:10.61s Loss:0.82845 Correct:93964/117760 Acc:79.793%
[progress:34.4%]time:9.88s Loss:0.85573 Correct:98049/122880 Acc:79.792%
[progress:35.8%]time:10.11s Loss:0.87199 Correct:102109/128000 Acc:79.773%
[progress:37.3%]time:9.99s Loss:0.82157 Correct:106276/133120 Acc:79.835%
[progress:38.7%]time:10.02s Loss:0.85544 Correct:110375/138240 Acc:79.843%
[progress:40.1%]time:9.89s Loss:0.86956 Correct:114457/143360 Acc:79.839%
[progress:41.6%]time:10.26s Loss:0.86717 Correct:118537/148480 Acc:79.834%
[progress:43.0%]time:9.95s Loss:0.82060 Correct:122679/153600 Acc:79.869%
[progress:44.4%]time:10.01s Loss:0.81566 Correct:126789/158720 Acc:79.882%
[progress:45.9%]time:9.99s Loss:0.82555 Correct:130896/163840 Acc:79.893%
[progress:47.3%]time:9.67s Loss:0.80354 Correct:135042/168960 Acc:79.925%
[progress:48.7%]time:10.11s Loss:0.86404 Correct:139126/174080 Acc:79.921%
[progress:50.2%]time:9.58s Loss:0.82602 Correct:143230/179200 Acc:79.927%
[progress:51.6%]time:8.71s Loss:0.86714 Correct:147334/184320 Acc:79.934%
[progress:53.0%]time:8.35s Loss:0.82480 Correct:151451/189440 Acc:79.947%
[progress:54.5%]time:8.41s Loss:0.81899 Correct:155596/194560 Acc:79.973%
[progress:55.9%]time:8.41s Loss:0.84491 Correct:159709/199680 Acc:79.982%
[progress:57.3%]time:8.47s Loss:0.85773 Correct:163819/204800 Acc:79.990%
[progress:58.8%]time:8.68s Loss:0.89163 Correct:167875/209920 Acc:79.971%
[progress:60.2%]time:8.63s Loss:0.83757 Correct:172022/215040 Acc:79.995%
[progress:61.6%]time:8.37s Loss:0.85102 Correct:176149/220160 Acc:80.010%
[progress:63.1%]time:8.17s Loss:0.80415 Correct:180291/225280 Acc:80.030%
[progress:64.5%]time:8.93s Loss:0.83743 Correct:184450/230400 Acc:80.056%
[progress:65.9%]time:10.13s Loss:0.85381 Correct:188556/235520 Acc:80.059%
[progress:67.4%]time:8.95s Loss:0.84386 Correct:192679/240640 Acc:80.069%
[progress:68.8%]time:7.90s Loss:0.81644 Correct:196831/245760 Acc:80.091%
[progress:70.3%]time:7.92s Loss:0.79358 Correct:200997/250880 Acc:80.117%
[progress:71.7%]time:7.96s Loss:0.89491 Correct:205049/256000 Acc:80.097%
[progress:73.1%]time:7.99s Loss:0.85568 Correct:209178/261120 Acc:80.108%
[progress:74.6%]time:7.91s Loss:0.84385 Correct:213271/266240 Acc:80.105%
[progress:76.0%]time:7.93s Loss:0.87425 Correct:217355/271360 Acc:80.098%
[progress:77.4%]time:7.98s Loss:0.86058 Correct:221446/276480 Acc:80.095%
[progress:78.9%]time:7.87s Loss:0.83424 Correct:225577/281600 Acc:80.105%
[progress:80.3%]time:7.97s Loss:0.79090 Correct:229762/286720 Acc:80.135%
[progress:81.7%]time:7.93s Loss:0.82235 Correct:233893/291840 Acc:80.144%
[progress:83.2%]time:7.93s Loss:0.81855 Correct:238006/296960 Acc:80.147%
[progress:84.6%]time:7.88s Loss:0.85599 Correct:242102/302080 Acc:80.145%
[progress:86.0%]time:7.97s Loss:0.80561 Correct:246260/307200 Acc:80.163%
[progress:87.5%]time:7.96s Loss:0.80363 Correct:250422/312320 Acc:80.181%
[progress:88.9%]time:7.91s Loss:0.85550 Correct:254538/317440 Acc:80.185%
[progress:90.3%]time:8.00s Loss:0.83569 Correct:258640/322560 Acc:80.184%
[progress:91.8%]time:7.86s Loss:0.81026 Correct:262781/327680 Acc:80.194%
[progress:93.2%]time:7.92s Loss:0.86516 Correct:266847/332800 Acc:80.182%
[progress:94.6%]time:8.03s Loss:0.84769 Correct:270958/337920 Acc:80.184%
[progress:96.1%]time:8.41s Loss:0.89246 Correct:275029/343040 Acc:80.174%
[progress:97.5%]time:8.87s Loss:0.86960 Correct:279127/348160 Acc:80.172%
[progress:98.9%]time:10.30s Loss:0.82138 Correct:283265/353280 Acc:80.181%
Testing ...
[progress:100.0%]time:206.92s Loss:1.42307 Correct:103988/152974 Acc:67.978%
end

Epoch : 18
[progress:1.4%]time:10.66s Loss:0.85499 Correct:4061/5120 Acc:79.316%
[progress:2.9%]time:10.12s Loss:0.88692 Correct:8102/10240 Acc:79.121%
[progress:4.3%]time:9.97s Loss:0.88471 Correct:12169/15360 Acc:79.225%
[progress:5.7%]time:10.41s Loss:0.81281 Correct:16313/20480 Acc:79.653%
[progress:7.2%]time:9.42s Loss:0.82476 Correct:20461/25600 Acc:79.926%
[progress:8.6%]time:10.03s Loss:0.87158 Correct:24544/30720 Acc:79.896%
[progress:10.0%]time:10.32s Loss:0.86712 Correct:28620/35840 Acc:79.855%
[progress:11.5%]time:10.27s Loss:0.84366 Correct:32728/40960 Acc:79.902%
[progress:12.9%]time:9.95s Loss:0.84942 Correct:36846/46080 Acc:79.961%
[progress:14.3%]time:10.19s Loss:0.85397 Correct:40967/51200 Acc:80.014%
[progress:15.8%]time:9.81s Loss:0.82764 Correct:45110/56320 Acc:80.096%
[progress:17.2%]time:10.44s Loss:0.77410 Correct:49302/61440 Acc:80.244%
[progress:18.6%]time:9.79s Loss:0.79711 Correct:53487/66560 Acc:80.359%
[progress:20.1%]time:10.60s Loss:0.84052 Correct:57631/71680 Acc:80.400%
[progress:21.5%]time:10.30s Loss:0.84272 Correct:61746/76800 Acc:80.398%
[progress:22.9%]time:9.99s Loss:0.80453 Correct:65874/81920 Acc:80.413%
[progress:24.4%]time:10.38s Loss:0.82910 Correct:69973/87040 Acc:80.392%
[progress:25.8%]time:10.29s Loss:0.85438 Correct:74090/92160 Acc:80.393%
[progress:27.2%]time:10.05s Loss:0.79608 Correct:78258/97280 Acc:80.446%
[progress:28.7%]time:9.29s Loss:0.82468 Correct:82372/102400 Acc:80.441%
[progress:30.1%]time:10.54s Loss:0.84885 Correct:86473/107520 Acc:80.425%
[progress:31.5%]time:9.78s Loss:0.83940 Correct:90584/112640 Acc:80.419%
[progress:33.0%]time:10.48s Loss:0.85414 Correct:94647/117760 Acc:80.373%
[progress:34.4%]time:10.11s Loss:0.84076 Correct:98724/122880 Acc:80.342%
[progress:35.8%]time:10.01s Loss:0.84175 Correct:102802/128000 Acc:80.314%
[progress:37.3%]time:10.03s Loss:0.85628 Correct:106924/133120 Acc:80.322%
[progress:38.7%]time:9.74s Loss:0.85178 Correct:111034/138240 Acc:80.320%
[progress:40.1%]time:10.54s Loss:0.87966 Correct:115096/143360 Acc:80.285%
[progress:41.6%]time:10.39s Loss:0.81579 Correct:119190/148480 Acc:80.273%
[progress:43.0%]time:10.05s Loss:0.84945 Correct:123294/153600 Acc:80.270%
[progress:44.4%]time:9.19s Loss:0.80087 Correct:127449/158720 Acc:80.298%
[progress:45.9%]time:10.03s Loss:0.82885 Correct:131568/163840 Acc:80.303%
[progress:47.3%]time:10.16s Loss:0.85781 Correct:135667/168960 Acc:80.295%
