nohup: 忽略输入
152974 356940
train num_classes 625
test num_classes 625

Epoch : 1
[progress:2.9%]time:17.85s Loss:6.28533 Correct:476/10240 Acc:4.648%
[progress:5.7%]time:7.42s Loss:5.96237 Correct:1123/20480 Acc:5.483%
[progress:8.6%]time:7.47s Loss:5.70317 Correct:1845/30720 Acc:6.006%
[progress:11.5%]time:7.48s Loss:5.52142 Correct:2623/40960 Acc:6.404%
[progress:14.3%]time:7.52s Loss:5.29575 Correct:3595/51200 Acc:7.021%
[progress:17.2%]time:7.61s Loss:5.13121 Correct:4605/61440 Acc:7.495%
[progress:20.1%]time:7.55s Loss:4.91346 Correct:5816/71680 Acc:8.114%
[progress:22.9%]time:7.62s Loss:4.73234 Correct:7091/81920 Acc:8.656%
[progress:25.8%]time:7.77s Loss:4.52784 Correct:8682/92160 Acc:9.421%
[progress:28.7%]time:7.86s Loss:4.37968 Correct:10433/102400 Acc:10.188%
[progress:31.5%]time:7.94s Loss:4.24449 Correct:12250/112640 Acc:10.875%
[progress:34.4%]time:8.07s Loss:4.05051 Correct:14294/122880 Acc:11.632%
[progress:37.2%]time:8.07s Loss:3.93140 Correct:16505/133120 Acc:12.399%
[progress:40.1%]time:8.07s Loss:3.77175 Correct:18934/143360 Acc:13.207%
[progress:43.0%]time:8.09s Loss:3.67665 Correct:21469/153600 Acc:13.977%
[progress:45.8%]time:8.10s Loss:3.52142 Correct:24245/163840 Acc:14.798%
[progress:48.7%]time:8.13s Loss:3.36558 Correct:27266/174080 Acc:15.663%
[progress:51.6%]time:8.15s Loss:3.29492 Correct:30416/184320 Acc:16.502%
[progress:54.4%]time:8.12s Loss:3.23167 Correct:33664/194560 Acc:17.303%
[progress:57.3%]time:8.18s Loss:3.09994 Correct:37079/204800 Acc:18.105%
[progress:60.2%]time:8.19s Loss:2.93250 Correct:40739/215040 Acc:18.945%
[progress:63.0%]time:8.17s Loss:2.91492 Correct:44497/225280 Acc:19.752%
[progress:65.9%]time:8.23s Loss:2.82198 Correct:48403/235520 Acc:20.552%
[progress:68.8%]time:8.18s Loss:2.72837 Correct:52504/245760 Acc:21.364%
[progress:71.6%]time:8.17s Loss:2.66849 Correct:56706/256000 Acc:22.151%
[progress:74.5%]time:8.15s Loss:2.59994 Correct:60969/266240 Acc:22.900%
[progress:77.4%]time:8.11s Loss:2.52223 Correct:65417/276480 Acc:23.661%
[progress:80.2%]time:8.22s Loss:2.40707 Correct:70072/286720 Acc:24.439%
[progress:83.1%]time:8.21s Loss:2.40065 Correct:74773/296960 Acc:25.179%
[progress:86.0%]time:8.14s Loss:2.37361 Correct:79485/307200 Acc:25.874%
[progress:88.8%]time:8.22s Loss:2.31232 Correct:84400/317440 Acc:26.588%
[progress:91.7%]time:8.20s Loss:2.21743 Correct:89451/327680 Acc:27.298%
[progress:94.6%]time:8.19s Loss:2.22651 Correct:94545/337920 Acc:27.979%
[progress:97.4%]time:8.14s Loss:2.11585 Correct:99811/348160 Acc:28.668%
Testing ...
[progress:100.0%]time:46.24s Loss:2.36785 Correct:70778/152974 Acc:46.268%
